v1,v2,language,source
ham,మీరు నా గురించి ఏమనుకుంటున్నారు.మొదటిసారి మీరు నన్ను తరగతిలో చూశారు.,Telugu,Google
ham,"ఒక గ్రామ్ సాధారణంగా & lt;#& gt;, సగం ఎనిమిదవది తెలివిగా ఉంటుంది మరియు మీకు & lt;#& gt;",Telugu,Google
ham,"K FYI X రేపు తెల్లవారుజామున ఒక రైడ్ కలిగి ఉంది, కాని అతను ఈ రాత్రి మా స్థలంలో క్రాష్ అవుతున్నాడు",Telugu,Google
ham,"వావ్.మీ వసతి గృహాల వల్ల మీరు చాలా ఇబ్బంది పడ్డారని నేను ఎప్పుడూ గ్రహించలేదు.నేను మీకు నచ్చాయని నేను అనుకున్నాను, ఎందుకంటే నేను చేయగలిగినంత ఉత్తమంగా చేస్తున్నాను మరియు మీరు ఎల్లప్పుడూ \ గుహ గురించి చాలా సంతోషంగా ఉన్నారు..",Telugu,Google
spam,SMS.ఎసి ఎస్పిటివి: న్యూజెర్సీ డెవిల్స్ మరియు డెట్రాయిట్ రెడ్ వింగ్స్ ఐస్ హాకీ ఆడతాయి.సరైన లేదా తప్పు?ముగుస్తుంది?ప్రత్యుత్తరం ముగింపు sptv,Telugu,Google
spam,"అభినందనలు!2 కోసం 1 సంవత్సరం ప్రత్యేక సినిమా పాస్ మీదే.ఇప్పుడు 09061209465 కు కాల్ చేయండి!సి సూపర్మ్యాన్ వి, మ్యాట్రిక్స్ 3, స్టార్ వార్స్ 3, మొదలైనవి అన్నీ 4 ఉచితం!BX420-IP4-5WE.150pm.కోల్పోకండి!",Telugu,Google
ham,మీరు ఎక్కడికి చేరుకున్నారో చెప్పండి,Telugu,Google
ham,అవును..గౌతి మరియు సెహ్వాగ్ వన్డే సిరీస్ నుండి బయటపడ్డారు.,Telugu,Google
ham,ఇంటికి వెళ్ళేటప్పుడు మీ కోసం మీ కోసం $ 1 బర్గర్ తీసుకోవాలి.నేను కూడా కదలలేను.నొప్పి నన్ను చంపుతోంది.,Telugu,Google
ham,హ హ హ మంచి జోక్.అమ్మాయిలు పరిస్థితి కోరుకునేవారు.,Telugu,Google
ham,ఇది ఐక్యూని తనిఖీ చేయడంలో ఒక భాగం,Telugu,Google
ham,"క్షమించండి నా రూమ్మేట్స్ ఎప్పటికీ తీసుకున్నారు, నేను ఇప్పుడు వస్తే సరేనా?",Telugu,Google
ham,సరే లార్ నేను డబుల్ చెక్ వైఫ్ డా హెయిర్ డ్రస్సర్ అప్పటికే అతను వున్ కట్ వి షార్ట్ అన్నాడు.నేను బాగుంది అని అతను కట్ చేస్తాడని చెప్పాడు.,Telugu,Google
spam,"విలువైన కస్టమర్‌గా, మీ మాబ్ నం యొక్క ఇటీవలి సమీక్షను అనుసరించి మీకు wart 1500 బోనస్ బహుమతితో లభిస్తుందని మీకు సలహా ఇవ్వడానికి నేను సంతోషిస్తున్నాను, 09066364589 కు కాల్ చేయండి",Telugu,Google
spam,"అర్జంట్ ఉర్ యూరోడిసింక్ ట్రావ్, ఎసిఓ & ఎంట్రీ 41 లేదా Å £ 1000 కు కాంప్లిమెంటరీ ట్రిప్ ఇచ్చింది.Txt dis ను 87121 18+6*Å £ 1.50 (మోర్ఫ్మోబ్.",Telugu,Google
spam,"క్రొత్త \ విడాకులు బార్బీ గురించి మీరు విన్నారా? ""ఇది కెన్ యొక్క అన్ని విషయాలతో వస్తుంది!""",Telugu,Google
ham,వాహ్ లక్కీ మ్యాన్ ... అప్పుడు డబ్బు ఆదా చేయవచ్చు ... హీ ...,Telugu,Google
ham,మీరు ఎక్కడ ఉన్నారు.,Telugu,Google
ham,హాయ్ బేబ్ ఇమ్ ఇంట్లో ఇప్పుడు ఏదైనా చేయాలనుకుంటున్నారా?XX,Telugu,Google
ham,కె..కె :) మీరు ఎక్కడ ఉన్నారు? మీరు ఎలా ప్రదర్శించారు?,Telugu,Google
ham,U ఇప్పుడు నన్ను పిలవవచ్చు ...,Telugu,Google
ham,నేను మచన్ వేచి ఉన్నాను.మీరు స్వేచ్ఛగా ఒకసారి నన్ను పిలవండి.,Telugu,Google
ham,బాగుంది.నేను పెద్దమనిషిని మరియు మిమ్మల్ని గౌరవంగా మరియు గౌరవంతో చూస్తాను.,Telugu,Google
ham,నేను మిమ్మల్ని ప్రజలను చాలా ఇష్టపడుతున్నాను :) కానీ నేను చాలా సిగ్గుపడుతున్నాను.,Telugu,Google
ham,& Lt;#& gt;లేదా ఏమిటి,Telugu,Google
ham,ఇది ఇక్కడ అదే కాదు.ఇప్పటికీ ఉద్యోగం కోసం వెతుకుతోంది.TA అక్కడ ఎంత సంపాదిస్తుంది.,Telugu,Google
ham,"క్షమించండి, నేను తరువాత పిలుస్తాను",Telugu,Google
ham,కె. మీరు ఇప్పుడే నన్ను పిలిచారా?,Telugu,Google
ham,సరే నేను ఇంటికి వెళ్ళే మార్గంలో ఉన్నాను హాయ్ హాయ్,Telugu,Google
ham,మీరు ఆ మనిషి స్థానంలో ఉంటారు,Telugu,Google
ham,అయ్యో తదుపరి స్టాప్.,Telugu,Google
ham,"నేను మిమ్మల్ని తరువాత పిలుస్తాను, నెట్‌వర్క్ లేదు.Urgnt అయితే, sms నన్ను.",Telugu,Google
ham,మీరు యోలో ఉన్నప్పుడు నిజానికి?నాకు మరో 2 టిక్కెట్లు మరియు మరో జాకెట్ మాత్రమే అవసరం మరియు నేను పూర్తి చేశాను.నేను ఇప్పటికే నా మల్టీస్ మొత్తాన్ని ఉపయోగించాను.,Telugu,Google
ham,అవును నేను దానిని తయారు చేయడానికి అభ్యర్థనలు పంపడం మొదలుపెట్టాను కాని నొప్పి తిరిగి వచ్చింది కాబట్టి నేను తిరిగి మంచం మీద ఉన్నాను.ఫ్యాక్టరీలో కూడా డబుల్ నాణేలు.నేను నా నైట్రోలన్నిటిలో నగదును పొందాలి.,Telugu,Google
ham,నేను నిజంగా ఈ రాత్రికి ఇంకా పసికందు కాదు,Telugu,Google
ham,"ELA KANO., IL Download, ఉర్ ఉచితంగా వచ్చినప్పుడు రండి ..",Telugu,Google
ham,అవును చేయండి!థో- మీరు మూసివేయడానికి నిలబడకండి- మీరు ఏదో పట్టుకోండి!,Telugu,Google
ham,క్షమించండి.మేము మరొక రాత్రి కలుసుకుంటే సరేనా?నేను మధ్యాహ్నం ప్రమాదంలో గడిపాను మరియు దీని అర్థం నేను y స్టఫ్ 42 మోరోను చేయలేదు మరియు ఇందులో నా టైమ్ షీట్లు ఉన్నాయి మరియు అది ఉంది.క్షమించండి.,Telugu,Google
ham,ఆనందంలో చిరునవ్వు నొప్పితో చిరునవ్వుతో చిరునవ్వు చిరునవ్వుతో బాధలు వర్షం నవ్వినప్పుడు SUM1 బాధించినప్పుడు u చిరునవ్వు BECOZ ఎవరైనా ఇంకా నవ్వుతున్నట్లు చూడటానికి ఇష్టపడతారు !!,Telugu,Google
spam,"దయచేసి మా కస్టమర్ సర్వీస్ ప్రతినిధిని 0800 169 6031 లో 10 am-9pm మధ్య కాల్ చేయండి, ఎందుకంటే మీరు హామీ Å bost 1000 నగదు లేదా bad 5000 బహుమతిని గెలుచుకున్నారు!",Telugu,Google
spam,"మీ ఉచిత రింగ్‌టోన్ సేకరించడానికి వేచి ఉంది.ధృవీకరించడానికి పాస్‌వర్డ్ \ మిక్స్ \ ""నుండి 85069 వరకు టెక్స్ట్ చేయండి. అషర్ మరియు బ్రిట్నీని పొందండి. FML",Telugu,Google
ham,నేను చూస్తున్నాను.మేము పూర్తి చేసినప్పుడు మాకు చెల్లించడానికి రుణాలు చాలా ఉన్నాయి,Telugu,Google
ham,"హాయ్.Wk సరే - ఇప్పుడు హోల్స్‌లో!అవును కొంచెం పరుగు కోసం.నాకు నలుగురూ క్షౌరశాలల అపాయింట్‌మెంట్ ఉందని మర్చిపోయాను, కాబట్టి ముందే హోమ్ ఎన్ షవర్ పొందాలి.ఇది u కోసం ప్రోబ్ కారణమవుతుందా? \ """"హామ్""",Telugu,Google
ham,దయచేసి నాకు ఇక టెక్స్ట్ చేయవద్దు.నాకు చెప్పడానికి ఇంకేమీ లేదు.,Telugu,Google
ham,సరే పేరు ఉర్ ధర దాని చట్టబద్ధమైనంత కాలం!నేను వాటిని తీయగలనా?Y u ave x ams xx,Telugu,Google
ham,నేను ఇంకా కొనడానికి కారు కోసం చూస్తున్నాను.మరియు ఇంకా 4 డ్రైవింగ్ పరీక్ష వెళ్ళలేదు.,Telugu,Google
ham,"వావ్.మీరు చెప్పింది నిజమే!నేను అలా చేయమని కాదు.నేను బోస్టన్ పురుషులను వదులుకున్నాను మరియు నా శోధన స్థానాన్ని NYC గా మార్చాను, ఏదో మార్చబడింది.CUZ నా సైన్న్ పేజీలో ఇది ఇప్పటికీ బోస్టన్ అని చెబుతుంది.",Telugu,Google
ham,ఉమా మై లైఫ్ మరియు వావా ఉమ్మా లవ్ యు లాట్ ప్రియమైన,Telugu,Google
ham,నా పుట్టినరోజున మీ కోరికలకు చాలా ధన్యవాదాలు.నా పుట్టినరోజును నిజంగా చిరస్మరణీయంగా చేసినందుకు ధన్యవాదాలు.,Telugu,Google
ham,"Aight, నాకు కొంత నగదు వచ్చినప్పుడు నేను మిమ్మల్ని కొట్టాను",Telugu,Google
ham,నా కంప్యూటర్‌ను పరిగణనలోకి తీసుకునే నా IP చిరునామా పరీక్ష Minecraft సర్వర్ కాదు,Telugu,Google
ham,నాకు తెలుసు!క్రోధస్వభావం ఉన్న వృద్ధులు.నా తల్లి మీలాగే అబద్ధం చెప్పడం మంచిది.అప్పుడు మళ్ళీ నేను ఎప్పుడూ జోకులు ఆడేవాడిని ...,Telugu,Google
ham,చింతించకండి.అతను బిజీగా ఉన్నాడని నేను ess హిస్తున్నాను.,Telugu,Google
ham,నామవాచకం పరిశోధన యొక్క బహువచనం ఏమిటి?,Telugu,Google
ham,విందు కోసం వెళుతున్నాను. మీరు తర్వాత.,Telugu,Google
ham,నేను సరే wif it cos నేను 2 కొత్త విషయాలను ప్రయత్నించండి.కానీ నేను మహ్ లాగా మిమ్మల్ని భయపెట్టాను.కాస్ యు చాలా బిగ్గరగా చెప్పలేదు.,Telugu,Google
spam,జెంట్!మేము మిమ్మల్ని సంప్రదించడానికి ప్రయత్నిస్తున్నాము.చివరి వారాంతాలు డ్రా మీరు Å £ 1000 బహుమతిని గెలుచుకున్నట్లు చూపిస్తుంది.09064012160 కు కాల్ చేయండి. క్లెయిమ్ కోడ్ K52.చెల్లుబాటు అయ్యే 12 గంటలు మాత్రమే.150ppm,Telugu,Google
ham,"నేను నా క్యాబిన్‌లోకి ప్రవేశించినప్పుడు నా పా, '' హ్యాపీ బి'డే బాస్ !! '' అని అన్నారు.నేను ప్రత్యేకంగా భావించాను.ఆమె నన్ను 4 భోజనం అడిగింది.భోజనం తరువాత ఆమె నన్ను తన అపార్ట్మెంట్కు ఆహ్వానించింది.మేము అక్కడికి వెళ్ళాము.",Telugu,Google
spam,మీరు విజేత మీరు ప్రత్యేకంగా ఎంపిక చేయబడ్డారు 2 Å £ 1000 లేదా 4* హాలిడే (ఫ్లైట్స్ ఇంక్) లైవ్ ఆపరేటర్ 2 క్లెయిమ్ 0871277810910p/min (18+) తో మాట్లాడండి,Telugu,Google
ham,హ్మ్ ... అతను నేరుగా పాఠశాలకు చెల్లిస్తున్నట్లు మామయ్య నాకు సమాచారం ఇచ్చాడు.కాబట్టి pls ఆహారం కొనండి.,Telugu,Google
spam,ప్రైవేట్!07742676969 కోసం మీ 2004 ఖాతా స్టేట్మెంట్ 786 redeemeemement బోనస్ పాయింట్లను చూపిస్తుంది.క్లెయిమ్ చేయడానికి కాల్ 08719180248 ఐడెంటిఫైయర్ కోడ్: 45239 గడువు ముగిసింది,Telugu,Google
spam,"అత్యవసరం!మీ మొబైల్ నెం. 5/9/03 న £ 2000 బోనస్ కాలర్ బహుమతి ఇవ్వబడింది. ఇది మిమ్మల్ని సంప్రదించడానికి మా చివరి ప్రయత్నం!ల్యాండ్‌లైన్ నుండి కాల్ చేయండి 09064019788 బాక్స్ 42WR29C, 150ppm",Telugu,Google
spam,7548 తో ముగిసే నేటి వోడా సంఖ్యలు $ 350 అవార్డును పొందటానికి ఎంపిక చేయబడ్డాయి.మీకు మ్యాచ్ ఉంటే దయచేసి 08712300220 కోటింగ్ క్లెయిమ్ కోడ్ 4041 ప్రామాణిక రేట్ల అనువర్తనానికి కాల్ చేయండి,Telugu,Google
ham,వాట్ సమయాన్ని ict హించండి ì_ నేను కొనుగోలు పూర్తి చేస్తారా?,Telugu,Google
ham,"మంచి విషయాలు, చేస్తాయి.",Telugu,Google
ham,"మీకు తెలిసినంతవరకు, యెసుండే ఇంకా డబ్బు పంపలేదు.పంపడానికి ఇబ్బంది పడకూడదని నేను ఆమెకు ఒక వచనాన్ని పంపాను.కాబట్టి అది ముగిసింది, మీరు దేనిలోనైనా మిమ్మల్ని మీరు పాల్గొనవలసిన అవసరం లేదు.నేను మీపై మొదటి స్థానంలో ఏమీ విధించకూడదు కాబట్టి దాని కోసం, నేను క్షమాపణలు కోరుతున్నాను.",Telugu,Google
ham,మీరు గదిలో ఉన్నారా?,Telugu,Google
ham,హే అమ్మాయి.ఎలా r u?మీరు బాగా డెల్ ఆర్ బక్!మళ్ళీ చాలా కాలం సి!లూసిక్స్ నుండి నాకు కాల్ మొత్తం సమయం ఇవ్వండి,Telugu,Google
ham,K..K :) దీని ధర ఎంత?,Telugu,Google
ham,నేను ఇంటికి వచ్చాను.,Telugu,Google
ham,"ప్రియమైన, రేపు పిలుస్తుంది. Pls వసతి కల్పిస్తుంది.",Telugu,Google
ham,మొదట నా ప్రశ్నకు సమాధానం ఇవ్వండి.,Telugu,Google
spam,సన్‌షైన్ క్విజ్ wkly q!అల్గార్వే ఏ దేశంలో ఉందో మీకు తెలిస్తే టాప్ సోనీ డివిడి ప్లేయర్‌ను గెలుచుకోండి?Txt ansr to 82277. Å £ 1.50 sp: టైరోన్,Telugu,Google
spam,ఈ రాత్రికి 2 కావాలా?నిజమైన డాగ్జింగ్ స్థానాలు డైరెక్ట్ 2 ఉర్ గుంపు పంపించాలనుకుంటున్నారా?69888 కు UK యొక్క అతిపెద్ద డాగ్జింగ్ నెట్‌వర్క్ BT txting కంకరలో చేరండి!Nt.EC2A.31p.msg@150p,Telugu,Google
ham,అతను అక్కడ ఉన్నాడు.మీరు పిలిచి అతన్ని కలవండి,Telugu,Google
ham,లేదు.నేను కార్యకలాపాలకు ముందు అన్ని గదులను తనిఖీ చేస్తాను,Telugu,Google
spam,మీరు చాట్ SVC నుండి MSGS ని RCV చేయరు.ఉచిత హార్డ్కోర్ సేవల వచనం కోసం వెళ్ళండి: 69988 మీకు ఏమీ లభించకపోతే మీకు వయస్సు ఉండాలి YR నెట్‌వర్క్‌తో ధృవీకరించండి మరియు మళ్లీ ప్రయత్నించండి,Telugu,Google
ham,"K, మీరు మార్గంలో ఉన్నప్పుడు నాకు టెక్స్ట్ చేయండి",Telugu,Google
ham,"సర్, మీ మెయిల్ కోసం వేచి ఉంది.",Telugu,Google
ham,"ఒక మధురమైన ఆలోచన: the చిన్న పనులు చేయడంలో ఎప్పుడూ అలసిపోకండి 4 ప్రేమగల వ్యక్తులు .. \ ""కజ్ .. కొన్ని సార్లు ఆ చిన్న విషయాలు వారి హృదయాలలో అతిపెద్ద భాగాన్ని ఆక్రమించాయి .. GUD NI8""",Telugu,Google
ham,మీరు అని నాకు తెలుసు.మీరు వెనుకకు తెరవగలరా?,Telugu,Google
ham,అవును చూడండి మీరు చుక్కపై కాదు,Telugu,Google
ham,మా కోసం క్లాస్ తీసుకుంటున్న సిబ్బంది పేరు ఏమిటి?,Telugu,Google
spam,"Freemsg మీరు నా వచనానికి ఎందుకు సమాధానం ఇవ్వలేదు?నేను రాండి, సెక్సీ, ఆడ మరియు లైవ్ లోకల్.U నుండి వినడానికి luv.నెట్‌కోల్లెక్స్ లిమిటెడ్ 08700621170150p కి msg ప్రత్యుత్తరం ముగిసింది",Telugu,Google
ham,K..నేను నా పరిచయాన్ని ఎందుకు తొలగించాను?,Telugu,Google
ham,సింధుకు బిర్లాసాఫ్ట్లో ఉద్యోగం వచ్చింది ..,Telugu,Google
ham,వైన్ ప్రవహిస్తోంది మరియు నేను ఫంగీంగ్‌ను కలిగి ఉన్నాను ..,Telugu,Google
ham,Yup i thk cine మంచిది కాస్ లేదు 2 ప్లాజా మాహ్ డౌన్ డౌన్.,Telugu,Google
ham,సరే ... ఉర్ విలక్షణమైన సమాధానం ...,Telugu,Google
ham,"మీరు ప్రతిచోటా మురికిగా ఉన్నారు, నేలపై, కిటికీలు, నా చొక్కా మీద కూడా ఉన్నారు.మరియు కొన్నిసార్లు నేను నోరు తెరిచినప్పుడు, మీరు ప్రవహిస్తున్నారు.మీరు లేకుండా నేను నా ప్రపంచాన్ని కలలు కంటున్నాను, అప్పుడు సగం నా పనులు కూడా అయిపోయాయి.నాకు ఆనందం ఉన్న సమయం, చాలా టీవీ షోలు i.ll చూడండి.కానీ వర్షం, వడగళ్ళు మరియు పొగమంచు వంటి మీరు ఉనికిలో ఉన్న అన్ని విషయాలను నేను ess హిస్తున్నాను, మరియు ఇక్కడ నా సమయం పూర్తయినప్పుడు, మీరు మరియు నేను ఒకటి అవుతాము.",Telugu,Google
ham,Aaoooooright మీరు పనిలో ఉన్నారా?,Telugu,Google
ham,నేను ఇప్పుడు నా ఇంటిని వదిలివేస్తున్నాను ...,Telugu,Google
ham,"హలో, నా ప్రేమ.మీరు ఏమి చేస్తున్నారు?మీరు ఈ రోజు ఆ ఇంటర్వ్యూకి వచ్చారా?మీరు సంతోషంగా ఉన్నారా?మీరు మంచి అబ్బాయి అవుతున్నారా?మీరు నా గురించి ఆలోచిస్తున్నారా? మీరు నన్ను కోల్పోతున్నారా?",Telugu,Google
spam,కస్టమర్ సేవ వార్షికోత్సవం.మీ కోసం కొత్త సంవత్సరాల డెలివరీ వేచి ఉంది.డెలివరీని ఏర్పాటు చేయడానికి దయచేసి ఇప్పుడు 07046744435 కు కాల్ చేయండి,Telugu,Google
spam,మీరు విజేత మీరు ప్రత్యేకంగా ఎంపిక చేయబడ్డారు 2 Å £ 1000 నగదు లేదా 4* హాలిడే (ఫ్లైట్స్ ఇంక్) లైవ్ ఆపరేటర్ 2 క్లెయిమ్ 0871277810810 తో మాట్లాడండి,Telugu,Google
ham,నా తల్లిదండ్రుల కోసం కొత్త కారు మరియు ఇల్లు. :) నాకు చేతిలో కొత్త ఉద్యోగం మాత్రమే ఉంది :),Telugu,Google
ham,నేను మీతో చాలా ప్రేమలో ఉన్నాను.నేను మీతో గడిపిన ప్రతి రోజు సంతోషిస్తున్నాను.మీరు నన్ను చాలా సంతోషపరుస్తారు.,Telugu,Google
